Código de Programación;Propiedad;Tipo Muestras;Uso Previsto;No Caja;Ubicación;Condición Almacenamiento;Nombre;Potencia;Fabricante;Lote;Catalogo;Fecha de Ingreso;Fecha de Vencimiento;Unidad;Presentación;Existencia Total;Cantidad Mínima;Color Refuerzo;Certificado Analítico;Ficha de Seguridad;Factura de compra;Código del Sistema
SRPR208;LifeFactor;Alimentos y/o Suplementos;Valoración;7C;CABINA;Proteger de la luz;L-Triptofano;;;;;;;mg;200mg;0,0;8,0;Verde;SI;SI;NO;Cliente
SRPR226;CECIF;Medicamentos;Valoración HPLC;1C;CABINA;Proteger de la luz;Olopatadine Hydrochloride;;;;;;;mg;200mg;0,0;37,5;Verde;SI;SI;SI;3226110
SRPR227;ILAB;Medicamentos;Valoración, impurezas orgánicas;2.1F;FREEZER;Foto 1. Evitar el calor y la humedad excesivos. Congelación;Olopatadine Compuesto Relacionado B;;;;;;;mg;150 mg (18,9MG Oticoff);0,0;4,7;Verde;SI;SI;SI;Cliente 
SRPR228;ILAB;Medicamentos;Valoración, impurezas orgánicas;2.1F;FREEZER;Protegido de la luz. Evitar el calor y la humedad excesivos. Congelación;Olopatadinde Compuesto Relacionado C;;;;;;;mg;35mg;0,0;8,8;Azul;SI;SI;SI;
SRPR232;Syntofarma;Medicamentos;Valoración;5C;CABINA;Protegido de la luz. Recipiente Hermético.;3-Tert-Butyl-4-Hydroxyanisole;99,4% de 3-Tert-Butyl-4-Hydroxyanisole y 0,3% de 2-Tert-Butyl-4-Hydroxyanisole;USP;R16050;1083100;2023-08-30;Vigente;mg;200 mg;188,6;50,0;Azul;SI ;SI;NO;Syntofarma 
SRPR233;Vacio;;;;CABINA;Proteger de la luz. Cierre hermético;Epinephrine Bitatrate;;;;;;No Hay;;;0,0;50,0;;;;;
SRPR234;Syntofarma;;;1N;NEVERA;Proteger de la luz. Refrigerador;Clavulanate Lithium;0,969 mg/mg;;;1134426;2017-02-09;No Hay;;;0,0;50,0;;;;;
SRPR236;Megalabs;Medicamentos;Valoración HPLC. STD Cualitativo. Se patronó de acuerdo a directriz del cliente;1C;CABINA;Bien cerrado. Temperatura Ambiente Higroscópico;Carboxymethylcellulose Sodium;100,82%;USP;R12601;1096553;2022-07-19;Vigente ;mg;1,5 g;1175,9;375,0;Verde;SI;SI;NO;Megalabs 
SRPR244;CECIF;Alimentos y/o Suplementos;valoración;2N;NEVERA;Cierre hermético. Protegido de la luz. Refrigeración;Riboflavin;;;;;;;mg;500 mg;0,0;125,0;Verde;SI;SI;NO;301015
SRPR245;CECIF;;;7C;CABINA;Después de abierta la ampolla almacenar en un recipiente bien cerrado en un desecador;Ethylene Glycol;1,00 mg/mg;;;;;No Hay;;;0,0;0,1;;;;;3245111
SRPR249;;Medicamentos;Valoración HPLC;1C;CABINA;Proteger de la luz. Cierre hermético.; Moxifloxacin Hydrochloride ;;;;;;No Hay;;;0,0;50,0;Verde;SI;SI;NO;
SRPR250;OTICOFF;;;1C;CABINA;Proteger de la luz. Cierre hermético.;Moxifloxacin Related compound A;;;;;;No Hay;;;0,0;6,3;;SI;SI;NO;
SRPR252;Geneca Pharma ;Medicamentos;Valoración;5N;NEVERA;Protegido de la luz. Cierre hermético.;Meloxicam;99,8%;USP;R11690;1379401;2023-08-31;Vigente;mg;400 mg;199,9;100,0;Azul;SI ;SI ;N/A;Geneca Pharma 
SRPR254;Vacio;;;;NEVERA;Cierre hermético. Refrigeración;Tranexamic Acid;;;;;;No Hay;;;0,0;50,0;;;;;
SRPR255;;;;;CABINA;Mantener bien cerrado;Tranexamic Acid related Compound C;;;;;;No Hay;;;0,0;3,8;;;;;
SRPR256;Syntofarma;Medicamentos;Valoración, Impurezas orgánicas;1N;NEVERA;No secar. Mantener en un recipiente bien cerrado. Proteger de la luz. Almacenar en Refrigerador.;Dicloxacilina Compuesto Relacionado D;100,0%;USP;F01780;1189053;2026-04-24;2026-12-31;mg;15 mg;7,0;7,5;Verde;SI;SI;Cliente;Syntofarma 
SRPR259;Syntofarma;Medicamentos;Impurezas orgánicas I.O;1N;NEVERA;Mantener en recipiente cerrado protegido de la luz y en refrigerador.;Cloxacillin Related Compoun D;100,0%;USP;F01770;1144951;2018-06-07;Vigente;mg;15 mg;10,0;3,8;Verde;SI;SI;SI;Syntofarma 
SRPR261;HUMAX (Clínica);Medicamentos;Infrarrojo (IR);1C;CABINA;Proteger de la luz. Cierre hermético. Mantener bien cerrado;Propylparaben;;;;;;;mg;200mg;0,0;50,0;Verde;SI;SI;NO;
SRPR262;HUMAX (Clínica);Estándar secundario ;;3N;NEVERA;Cierre hermético. Protegido de la luz. Refrigeracion;Metformin Hydrochloride;;;;;;No Hay;mg;;0,0;50,0;;;;;
SRPR263;NUTRABIOTICS;;;7N;NEVERA;Cierre hermético. Protegido de la luz. Refrigeracion;Glycyrrhizic Acid;;;;;;No Hay;;;0,0;15,0;;;;;
SRPR266;Vacio;;;;CABINA;Proteger de la luz. Cierre hermético.;Sodiun Ascorbate;;;;;;No Hay;;;0,0;50,0;;;;;
SRPR267;Syntofarma;Medicamentos ;Valoración ;4N;NEVERA; Refrigerador +5°C ± 3°C Protegido de la luz;Sultamicillin Tosilate CRS;92,7%;EP;3;Y0000531;2025-10-03;Vigente ;mg;200;87,6;50,0;Verde;SI;SI;SI;Syntofarma
SRPR268;Vacio;;;;CABINA;;Diethylene Glycol (Dietilenglicol);;;;;;No Hay;;;0,0;0,0;;;;;
SRPR269;Bausch Health ;Medicamentos;Validación Cromatografía de gases ;4C;CABINA;Cierre hermético (es higroscópico);Glycerin (glicerina);100%;USP;R13700;1295607;2025-08-11;2026-11-30;mg;130;1917,7;32,5;Verde;SI;SI;SI;Bausch Health 
SRPR270;QUIFARMA;Medicamentos;Valoración HPLC;5C;CABINA;Proteger de la luz. Cierre hermético.;Fluorouracil ;;;;;;No Hay;;;0,0;0,0;Azul;SI;SI;SI;
SRPR271;Syntofarma;Medicamentos;Valoración HPLC (STD Cualitativo);2F1;FREEZER;Protegido de la luz. Recipiente Hermético. Congelación;Cefuroxime Axetil Delta -3- Isomers;N/A (Cualitativo);USP ; R12220;1098231;2024-01-17;Vigente ;mg;10 mg ;17,1;2,5;Azul;SI;SI ;N/A;Syntofarma 
SRPR272;Syntofarma;Medicamentos;Valoración HPLC;1N;NEVERA;Cierre hermético. Protegido de la luz. Refrigeracion;Cefuroxime Axetil;82,3%;USP ;R011M0;1098220;2024-01-17;2027-03-31;mg ;350 mg ;470,4;87,5;Azul;SI ;SI ;N/A;Syntofarma 
SRPR273;HUMAX (Clínica);Medicamentos;Valoración HPLC;3N;NEVERA;Cierre hermético. Protegido de la luz. Refrigeracion. Mantener alejado de los Álcalis;Metformin Hydrochloride;;;;;;;mg;200mg;0,0;50,0;Verde;SI;SI;SI;42730043
SRPR274;Luz Zul;Medicamentos;Valoración HPLC;4N;NEVERA;Cierre hermético. Protegido de la luz. Refrigeracion;Azufre B;;;;;;;mg;50 mg;0,0;50,3;Verde;SI;SI;NO;N/A
SRPR275;Luz Zul;Medicamentos;Valoración HPLC;6N;NEVERA;Cierre hermético. Protegido de la luz. Refrigeracion;Naphazoline Hydrochloride (Nafazolina Hidrocloruro);99,8%;USP;M1K405;1457006;2020-01-17;Vigente;mg;200 mg;26,3;50,0;Azul;SI;SI;NO;Luz Zul 
SRPR276;ECAR;Medicamentos;Valoración CG;5C;CABINA;Proteger de la luz. Cierre hermético.;Orlistat Related Compound B;;;;;;;mg;20 mg;0,0;5,0;;SI;;;Cliente 
SRPR277;QUIFARMA;;;5C;CABINA;Proteger de la luz. Cierre hermético.;UREA;;;;;;No Hay;;;0,0;2,5;;;;;
SRPR278;Bussie;Medicamentos;Valoración, impurezas orgánicas;15N;NEVERA;Proteger de la luz, Cierre hermético;Compuesto Relacionado A Carbamazepina USP;;;;;;No Hay;;;-30,00;2,6;Verde;SI;SI;NO;Cliente
SRPR279;Bussie;Medicamentos;Valoración, Impurezas orgánicas;15N;NEVERA;Cierre hermético.;Compuesto Relacionado B Carbamazepina USP;;;;;;;mg;11,66;0,00;2,9;Verde;NO;NO;NO;Bussie 
SRPR280;Acromax;Medicamentos;Valoración HPLC;1C;CABINA;Bien cerrado. Temperatura Ambiente Higroscópico;CarboximethylCelulosa Sodium;;;;;;;mg;;0,0;375,0;;SI;SI;NO;Cliente 
SRPR281;Proasepsis;Alimentos y/o Suplementos;Valoración (STD CUALITATIVO);4C;CABINA;Proteger de la Luz;Mineral Oil (Aceite Mineral);N/A (Cualitativo);USP;R100P0;1443952;2020-09-14;Vigente;mL;1,5 ml;1,5;0,4;Verde;SI;SI;NO;Proasepsis 
SRPR282;Syntofarma;Medicamentos; SOLO PARA IR (STD CUALITATIVO);1N;NEVERA;Proteger de la luz y la humedad. Reciente Hermético.;Ampicilina Trihidrato cualitativa;N/A (Cualitativo);USP;R10830;1033407;2020-09-21;Vigente;mg;200 mg;185,0;0,6;Azul;SI;SI;SI;Syntofarma 
SRPR283;Syntofarma;;;1N;NEVERA;Proteger de la luz, Cierre hermético;Cefadroxil Compuesto Relacionado I;;;;;;No Hay;mg;;0,0;2,5;;;;;
SRPR284;Syntofarma;;;1N;NEVERA;Proteger de la luz, Cierre hermético;Cefadroxil Compuesto Relacionado D;;;;;;No Hay;mg;;0,0;2,5;;;;;
SRPR285;Syntofarma;;;1F;FREEZER;Proteger de la luz, Cierre hermético;Cefadroxilo System Suitability Mixture;;;;;;No Hay;mg;;0,0;6,3;;;;;
SRPR286;Bausch Health ;;;15N;NEVERA;Protegido de la Luz y Guardar en Refrigerador;Aripiprazol Compuesto Relacionado F;;;;;;No Hay;;;0,0;1,3;;;;;
SRPR287;Bausch Health ;;;15N;NEVERA;Protegido de la Luz y Guardar en Refrigerador;Aripiprazol Compuesto Relacionado G;;;;;;No Hay;;;0,0;0,5;;;;;
SRPR288;Bausch Health ;Medicamentos;Impurezas orgánicas I.O;1C;CABINA;Protegido de la luz y cierre hermetico ;Fexofenadine compuesto relacionado B;;;;;;No Hay;;;0,0;6,3;;;;;Cliente 
SRPR289;LABINCO ;Medicamentos;Limite ;2N;NEVERA;Protegido de la luz y cierre hermetico ;Hyoscine Butylbromide for System Suitability CRS;;;;;;;mg;10 mg;0,0;0,0;Azul;;;;Cliente 
SRPR290;Syntofarma;Medicamentos;Valoración ;5N;NEVERA;Refrigerador. Proteger de la luz;Diclofenaco de potasio CRS;Ver Certificado;EP;3,0;D1039990;2025-08-12;Vigente;mg;70 mg;9,4;21,0;Azul;SI;SI;SI;Syntofarma 
SRPR291;Syntofarma;Medicamentos;valoración/ IR;5N;NEVERA;Recipiente hermético. Proteger de la Luz. Refrigerador.;Cefpodoxime Proxetil ;75,8%(para cromatografía) y 76,7% (para espectrofotometría);USP;R23550;1098027;2026-01-15;Vigente ;mg;350 mg;178,4;87,5;Azul;SI;SI;N/A;Syntofarma 
SRPR292;QUIFARMA;Medicamentos;Valoración ;5N;NEVERA;Refrigerador.;Fluorouracil Related Compound F;;;;;;;mg;25 mg;0,0;;Azul;;;;Cliente 
SRPR293;Jorge Alzate ;Medicamentos;Valoración ;3C;CABINA;Protegido de la Luz y Guardar en Refrigerador;Difenhydramina Clorhidrato ;;;;;;;mg;200;0,0;0,0;Verde;SI;SI;N/E;Cliente 
SRPR294;Jorge Alzate ;Medicamentos;Valoración ;3C;CABINA;Protegido de la Luz y Guardar en Refrigerador;Difenhydramina Compuesto relacionado A;;;;;;;mg;25 mg ;0,0;0,0;Verde;SI;SI;N/E;Cliente 
SRPR295;Syntofarma;Medicamentos;Valoración ;4N;NEVERA; Refrigerador +5°C ± 3°C Protegido de la luz;Cefradine Impurity Mixture CRS ;Ver Certificado;EP;2.0;Y0001174;2025-10-22;Vigente ;mg;0,04 mg;0,08;0,0;Verde;NO;NO;No;Cliente 
SRPR296;Syntofarma;Medicamentos;Valoración ;4N;NEVERA; Refrigerador +5°C ± 3°C Protegido de la luz;Cefradine For Peak Identification CRS ;Ver Certificado;EP ;4;Y0000568;2024-11-13;Vigente ;mg;15 mg;29,4;2,5;Verde;SI;SI;SI ;Syntofarma 
SRPR297;Syntofarma;Medicamentos;Valoración ;4N;NEVERA; Refrigerador +5°C ± 3°C Protegido de la luz;Cefradine CRS ;90,3%;EP ;5;C0690000;2026-01-15;Vigente ;mg;300 mg;140,3;37,5;Verde;SI;SI;SI ;Cliente 
SRPR298;Syntofarma;Medicamentos;Valoración ;2F2;FREEZER;Congelador -20°C ±  5°C, Proteger de la luz;Cyclohexa-1,4-dienyglycine CRS ;Ver Certificado;EP ;3.1;C3230000;2026-04-24;Vigente ;mg;15 mg;9,0;2,5;Verde;SI;SI;NO;Syntofarma 
SRPR299;PharmaCielo ;Fito terapéutico;Valoración ;10N;NEVERA; 10 ° C o más Frío ;Cannabinol Standard;;;;;;;ml;1 ml;0,0;0,0;Rojo - Azul;SI;SI;NO;Cliente 
SRPR300;PharmaCielo ;Fito terapéutico;Valoración ;2.F2;FREEZER;≥ 10 ° C;Cannabidiol (CRM) ;;;;;;;ml;1 ml;0,0;0,0;Rojo - Azul;SI;SI;NO;Cliente 
SRPR301;PharmaCielo ;Fito terapéutico;Valoración ;10N;NEVERA; 10 ° C o más Frío ;Delta-9-THC Standard;;;;;;;mg;1 ml;0,0;0,0;Rojo - Azul;SI;SI;NO;Cliente 
SRPR302;PharmaCielo ;Fito terapéutico;Valoración ;10N;NEVERA; 10 ° C o más Frío ;Cannabigerol Standard ;;;;;;;mg;1 ml;0,0;0,0;Rojo - Azul;SI;SI;NO;Cliente 
SRPR303;PharmaCielo ;Fito terapéutico;Valoración ;10N;NEVERA; 10 ° C o más Frío ;Cannabichromene Standard ;;;;;;;mg;1 ml ;0,0;0,0;Rojo - Azul;SI;SI;NO;Cliente 
SRPR304;PharmaCielo ;Fito terapéutico;Valoración ;2.F2;FREEZER;≥ 20 ° C;THCA-A Standard ;;;;;;;mg;1 ml ;0,0;0,0;Rojo - Azul;SI;SI;NO;Cliente 
SRPR305;PharmaCielo ;Fito terapéutico;Valoración ;2.F2;FREEZER;≥ 20 ° C;Tetrahydrocannabivarin ( THCV) ;;;;;;;mg;1 ml ;0,0;0,0;Rojo - Azul;SI;SI;NO;Cliente 
SRPR306;PharmaCielo ;Fito terapéutico;Valoración ;2.F2;FREEZER;≥ 20 ° C;Cannabidivarin (CBDV) Standard;;;;;;;mg;1 ml ;0,0;0,0;Rojo - Azul;SI;SI;NO;Cliente 
SRPR307;Nutrabiotics Fisicoquimico. ;Medicamentos;Valoración HPLC;3N;NEVERA;Mantener en un recipiente cerrado. Proteger de la Luz. Almacenar en Refrigerador;Acido Alfa Lipoico ( Acid Alpha Lipoic );99,1%;USP;F1I018;1368201;2025-07-01;Vigente ;mg;500 mg;326,1;62,5;Verde;SI;SI;NO ;Nutrabiotics 
SRPR308;BUSSIE;Medicamentos;Valoración HPLC ;2N;NEVERA;Protegido de la luz y cierre hermetico ;Hyoscine Butylbromide for System Suitability CRS;;;;;;;mg ;10 mg;0,0;0,0; Azul;;;;Cliente 
SRPR309;Megalabs;Medicamentos;Valoración HPLC ;5N;NEVERA;Refrigerador (2°C - 8°C);Carmellose Sodium BP ;99,9%;BP ;4217;767;2022-10-05;Vigente ;mg ;100 mg;135,4;87,5;Verde;SI;SI;NO;Megalabs 
SRPR310;Geneca Pharma ;Medicamentos;Valoración HPLC;4C;CABINA;Cierre hermético. Protegido de la luz. ;Ácido Benzoico ;99,9%;USP ;R144C0;1055002;2022-10-21;Vigente ;mg ;300 mg;273,6;75,0;Verde;SI;SI;SI ;31254
SRPR311;Geneca Pharma ;Medicamentos;Valoración HPLC;4N;NEVERA;Cierre hermético. Protegido de la luz. Refrigerador.;Ibuprofeno Compuesto Relacionado C;100%;USP ;R16080;1335541;2022-10-21;Vigente ;g;0,6 ml;0,6;0,2;Verde;SI;SI;SI ;31255
SRPR312;Geneca Pharma ;Medicamentos;Valoración HPLC;4C;CABINA;Cierre hermético. Protegido de la luz.;Ibuprofeno Compuesto Relacionado J;100%;USP ;R09260;1335596;2022-10-31;Vigente ;mg;25 mg ;9,0;6,3;Verde;SI;SI;SI ;31256
SRPR313;Healthy América ;Medicamentos;Valoración HPLC;2F2;FREEZER;Cierre hermético. Proteger de la luz. Freezer.;Cholecalciferol ;99,9%;USP ;R19690;1131009;2025-10-07;Vigente ;mg;30 mg;60,0;37,5;Azul;SI ;SI ;NO;Healthy America 
SRPR314;Healthy América ;Medicamentos;Valoración HPLC;2N;NEVERA;Cierre hermético. Proteger de la luz.Refrigerador.;Acido Alfa Lipoico ( Acid Alpha Lipoic );99,1%;USP;F1I018;1368201;2022-12-15;Vigente ;mg;500 mg;458,3;125,0;Verde;SI;SI;NO;Healthy America 
SRPR315;Healthy América ;Medicamentos;Valoración HPLC;2F2;FREEZER;Cierre hermético. Proteger de la luz. Material Higroscópico. Freezer.;Ginkgo Terpene Lactones;VER CERTIFICADO;USP;R088U0;1291559;2022-12-15;Vigente;mg;50mg;50,0;12,5;Verde;SI;SI;NO;Healthy America 
SRPR316;Geneca Pharma ;Medicamentos;Valoración - Imourezas HPLC;5C;CABINA;Cierre hermético;Ibuprofen;99,8%;USP;R13060;1335508;2022-12-23;Vigente;mg;750mg;600,4;187,5;Azul;SI;SI;SI;Geneca Pharma 
SRPR317;Geneca Pharma ;Medicamentos;Valoración - Imourezas HPLC;2C;CABINA;Cierre hermético  Proteger de la luz;Desloratadine.;99,8%;USP;F006W0;1173042;2023-01-11;Vigente;mg;200 mg ;200,0;50,0;Verde;SI;SI;SI;Geneca Pharma 
SRPR318;Geneca Pharma ;Medicamentos;Valoración - Imourezas HPLC;5N;NEVERA;Cierre hermético  Proteger de la luz. Refrigerador;Desloratadine Compund Related F.;99%;USP;R082U0;1173064;2023-01-11;Vigente;mg;50 mg;50,0;12,5;Verde;SI;SI;SI;Geneca Pharma 
