Código de Programación;Propiedad;Tipo Muestras;Uso Previsto;No Caja;Ubicación;Condición Almacenamiento;Nombre;Potencia;Fabricante;Lote;Catalogo;Fecha de Ingreso;Fecha de Vencimiento;Unidad;Presentación;Existencia Total;Cantidad Mínima;Color Refuerzo;Certificado Analítico;Ficha de Seguridad;Factura de compra;Código del Sistema
SRPR398;Syntofarma (Proyecto MAMUT) -  Impurezas orgánicas por HPLC-UV de cefalexina según BP  para la  cuantificación de Metilparabeno , en el producto terminado Cefalexina PPSO;Medicamentos;Impurezas orgánicas por HPLC-UV de cefalexina según BP  para la  cuantificación de Metilparabeno , en el producto terminado Cefalexina PPSO;9N;NEVERA;Mantener en el recipiente original de +5°C ± 3 °C. proteger de la luz.;Cefotaxime sodium CRS;Cualitativo ;EP;6;C0685000;2025-10-10;Vigente;mg;20 mg;70,0;5,0;Verde;SI;SI;NO;Syntofarma 
SRPR399;Syntofarma (Proyecto MAMUT) -  Impurezas orgánicas por HPLC-UV de cefalexina según BP  para la  cuantificación de Metilparabeno , en el producto terminado Cefalexina PPSO;Medicamentos;Impurezas orgánicas por HPLC-UV de cefalexina según BP  para la  cuantificación de Metilparabeno , en el producto terminado Cefalexina PPSO;9N;NEVERA;Refrigerador (2 a 8 °C);7-AMINODESACETOXYCEPHALOSPORANIC ACID;100 %;BP;3109;011;2025-10-10;Vigente;mg;20 mg;79,9;5,0;Azul ;SI;SI;NO;Syntofarma 
SRPR400;Syntofarma (Proyecto MAMUT) - Impurezas orgánicas por HPLC-UV de cefalexina según BP, en el producto terminado Cefalexina Tabletas;Medicamentos;Impurezas orgánicas por HPLC-UV de cefalexina según BP, en el producto terminado Cefalexina Tabletas;2N;NEVERA;Refrigerador (2 a 8 °C);7-AMINODESACETOXYCEPHALOSPORANIC ACID;100 %;BP;3109;011;2025-10-10;Vigente;mg;20 mg;100,0;5,0;Azul ;SI;SI;NO;Syntofarma 
SRPR401;Syntofarma (Proyecto MAMUT) - Impurezas orgánicas por HPLC-UV de cefalexina según BP, en el producto terminado Cefalexina Tabletas;Medicamentos;Impurezas orgánicas por HPLC-UV de cefalexina según BP, en el producto terminado Cefalexina Tabletas;2N;NEVERA;Mantener en el recipiente original de +5°C ± 3 °C. proteger de la luz.;Cefotaxime sodium CRS;Cualitativo ;EP;6;C0685000;2025-10-10;Vigente;mg;20 mg;100,0;5,0;Verde;SI;SI;NO;Syntofarma 
SRPR402;"Syntofarma (Proyecto MAMUT) - Estabilidad  de Cefadroxilo
 250 mg/5 mL PPSO ";Medicamentos;"Estabilidad  de Cefadroxilo
 250 mg/5 mL PPSO";8N;NEVERA;Refrigerador (2 a 8 °C);Cefadroxil;93,8%;BP;4414;784;2025-10-23;Vigente;mg;100mg;233,2;25,0;Azul ;SI;SI;NO;Syntofarma 
SRPR403;"Syntofarma (Proyecto MAMUT) - Estabilidad  de Cefadroxilo
 250 mg/5 mL PPSO ";Medicamentos;"Estabilidad  de Cefadroxilo
 250 mg/5 mL PPSO";5C;CABINA;Mantener en un recipiente cerrado. Proteger de la luz. ;Methylparaben;99,8%;USP;R098B0;1432005;2023-10-23;Vigente;mg;125 mg;234,2;31,3;Verde;SI;SI;NO;Syntofarma 
SRPR404;"Syntofarma (Proyecto MAMUT) - Estabilidad  de Cefadroxilo
 250 mg/5 mL PPSO ";Medicamentos;"Estabilidad  de Cefadroxilo
 250 mg/5 mL PPSO";8N;NEVERA;Refrigerador (2 a 8 °C);7-AMINODESACETOXYCEPHALOSPORANIC ACID;100 %;BP;3109;011;2025-10-23;Vigente;mg;20 mg;180,6;5,0;Azul ;SI;SI;NO;Syntofarma 
SRPR405;"Syntofarma (Proyecto MAMUT) - Validación de la metodología analítica de Sustancias Relacionadas por HPLC-UV de
Sultamicilina Tosilato, en el producto terminado Sultamicilina Tabletas 375 mg y 750 mg";Medicamentos;" Validación de la metodología analítica de Sustancias Relacionadas por HPLC-UV de
Sultamicilina Tosilato, en el producto terminado Sultamicilina Tabletas 375 mg y 750 mg";3N;NEVERA; Refrigerador +5°C ± 3°C Protegido de la luz;Sultamicillin Tosilate CRS;;;;;;;mg;;0,0;50,0;Verde;;;;Syntofarma 
SRPR406;"Syntofarma (Proyecto MAMUT) - Validación de la metodología analítica de Sustancias Relacionadas por HPLC-UV de
Sultamicilina Tosilato, en el producto terminado Sultamicilina Tabletas 375 mg y 750 mg";Medicamentos;" Validación de la metodología analítica de Sustancias Relacionadas por HPLC-UV de
Sultamicilina Tosilato, en el producto terminado Sultamicilina Tabletas 375 mg y 750 mg";7N;NEVERA; Refrigerador +5°C ± 3°C Protegido de la luz;Ampicillin Trihydrate CRS;100 %;EP;3;A1100000;2025-11-06;Vigente;mg;150;145,4;37,5;Verde;SI;SI;NO;Syntofarma 
SRPR407;"Syntofarma (Proyecto MAMUT) - Validación de la metodología analítica de Sustancias Relacionadas por HPLC-UV de
Sultamicilina Tosilato, en el producto terminado Sultamicilina Tabletas 375 mg y 750 mg";Medicamentos;" Validación de la metodología analítica de Sustancias Relacionadas por HPLC-UV de
Sultamicilina Tosilato, en el producto terminado Sultamicilina Tabletas 375 mg y 750 mg";2N;NEVERA; Refrigerador +5°C ± 3°C Protegido de la luz;Sultamicillin For Peak Identification CRS;;;;;;;mg;;0,0;0,0;Verde;;;;Syntofarma 
SRPR408;"Syntofarma (Proyecto MAMUT) - Validación de la metodología analítica de Sustancias Relacionadas por HPLC-UV de
Sultamicilina Tosilato, en el producto terminado Sultamicilina Tabletas 375 mg y 750 mg";Medicamentos;" Validación de la metodología analítica de Sustancias Relacionadas por HPLC-UV de
Sultamicilina Tosilato, en el producto terminado Sultamicilina Tabletas 375 mg y 750 mg";2F2;FREEZER;Freezer. -20°C ± 5°C Protegido de la luz;Sulbactam CRS ;99,7%;EP;3;Y0000528;2025-11-06;Vigente;mg;150;145,8;37,5;Verde;SI;SI;NO;Syntofarma 
SRPR409;Bausch Health ;Envases para Medicamentos;Calorímetro DSC;7C;CABINA;Manipule y almacene con cuidado para evitar rayar la superficie lisa de las tiras.;Low -Density Polyethylene;Cualitativo ;USP;R214T0;1546809;2025-11-13;Vigente;mg;3039,5;3034,5;759,9;Verde;SI;SI;NO;Bausch Health 
SRPR410;Bausch Health ;Envases para Medicamentos;Calorímetro DSC;7C;CABINA;Manipule y almacene con cuidado para evitar rayar la superficie lisa de las tiras.;Polyethylene Terephthalate;Cualitativo ;USP;R128N0;1546900;2025-11-13;Vigente;mg;4706,3;4690,9;1176,6;Verde;SI;SI;NO;Bausch Health 
SRPR411;Syntofarma (Proyecto MAMUT) - Análisis de Estabilidad de Amoxicilina 125 mg + Ácido Clavulánico 31.25 mg/5 mL PPSO y Amoxicilina 875 mg + Ácido Clavulánico 125 mg Tab ;Medicamentos;Análisis de Estabilidad de Amoxicilina 125 mg + Ácido Clavulánico 31.25 mg/5 mL PPSO y Amoxicilina 875 mg + Ácido Clavulánico 125 mg Tab ;3N;NEVERA;Mantener en el recipiente original de +5°C ± 3 °C. proteger de la luz.;Lithium Clavulanate CRS;97,1%;EP;9.0;L0720000;2025-11-26;Vigente;mg;125 mg;359,8;93,8;Azul ;SI;SI;NO;Syntofarma 
SRPR412;Syntofarma;Medicamentos;I-O (MP Cefuroxima Axetilo);2N;NEVERA;Mantener en un recipente cerrado. Refrigerador +5°C ± 3°C. Protegido de la luz;Isómeros E de cefuroxima axetilo ;Cualitativo ;USP;R147R0;1098253;2025-12-12;Vigente;mg;15 mg;10,1;3,8;Azul ;SI;SI;NO;Syntofarma 
SRPR413;Syntofarma (Proyecto MAMUT) - Análisis de Estabilidad de Cefadroxilo PPSO y Dicloxacilina Cápsulas;Medicamentos;Análisis de Estabilidad de Cefadroxilo PPSO y Dicloxacilina Cápsulas;8N;NEVERA;Mantener en un recipiente cerrado. Proteger de la luz. Almacenar en Refrigerador;Dicloxacillin Related Compound D;Cualitativo ;USP;F01780;1189053;2025-12-19;2026-12-31;mg;15 mg;30,0;3,8;Verde;SI;SI;NO;Syntofarma 
SRPR414;Syntofarma (Proyecto MAMUT) - Análisis de Estabilidad de Cefadroxilo PPSO y Dicloxacilina Cápsulas;Medicamentos;Análisis de Estabilidad de Cefadroxilo PPSO y Dicloxacilina Cápsulas;7N;NEVERA;Refrigerador (2 a 8 °C);(D-α-(4-HYDROXYPHENYL)GLYCINE);100 %;BP;2941;829;2025-12-19;Vigente;mg;50 mg;145,0;18,1;Azul ;SI;SI;NO;Syntofarma 
SRPR415;Syntofarma (Proyecto MAMUT) - Valoración e Impurezas para MP Cefixima ;Medicamentos;Valoración e Impurezas para MP Cefixima ;1N;NEVERA;Refrigerador (2 a 8 °C);Cefixime ;99,6%;USP ;R195U0;1097658;2026-01-15;Vigente;mg;500 mg;408,0;51,0;Azul ;SI;SI;NO;Syntofarma 
SRPR416;Syntofarma (Proyecto MAMUT) - Análisis Estabilidad de dicloxacilina 500 mg/Cap;Medicamentos; Análisis Estabilidad de dicloxacilina 500 mg/Cap;1N;NEVERA;Mantener en un recipiente cerrado. Proteger de la luz. Almacenar en Refrigerador;Dicloxacillin Related Compound D;Cualitativo ;USP ;F01780;1189053;2026-01-30;2026-12-31;mg;15 mg;30,0;3,8;Verde;SI;SI;NO;Syntofarma 
SRPR417;Syntofarma (Proyecto MAMUT) - Análisis Estabilidad de Cefalexina Cápsulas Sustancias Relacionadas  ;Medicamentos;Estabilidad de Cefalexina Cápsulas Sustancias Relacionadas  ;1N;NEVERA;Refrigerador (2 a 8 °C);7-AMINODESACETOXYCEPHALOSPORANIC ACID;100 %;BP;3109;011;2026-01-30;Vigente;mg;20 mg;40,0;5,0;Azul ;SI;SI;NO;Syntofarma 
SRPR418;Syntofarma (Proyecto MAMUT) - Análisis Estabilidad de Cefalexina Cápsulas Sustancias Relacionadas  ;Medicamentos;Estabilidad de Cefalexina Cápsulas Sustancias Relacionadas  ;2N;NEVERA;Mantener en el recipiente original de +5°C ± 3 °C. proteger de la luz.;Cefotaxime sodium CRS;Cualitativo ;EP;6;C0685000;2026-01-30;Vigente;mg;20 mg;40,0;5,0;Verde;SI;SI;NO;Syntofarma 
SRPR419;Syntofarma (Proyecto MAMUT) - Análisis Estabilidad de Cefalexina PPSO Sustancias Relacionadas  ;Medicamentos;Análisis Estabilidad de Cefalexina PPSO Sustancias Relacionadas  ;2N;NEVERA;Refrigerador (2 a 8 °C);7-AMINODESACETOXYCEPHALOSPORANIC ACID;100 %;BP;3109;011;2026-01-30;Vigente;mg;20 mg;69,6;8,7;Azul ;SI;SI;NO;Syntofarma 
SRPR420;Syntofarma (Proyecto MAMUT) - Análisis Estabilidad de Cefalexina PPSO Sustancias Relacionadas  ;Medicamentos;Análisis Estabilidad de Cefalexina PPSO Sustancias Relacionadas  ;9N;NEVERA;Mantener en el recipiente original de +5°C ± 3 °C. proteger de la luz.;Cefotaxime sodium CRS;Cualitativo ;EP;6;C0685000;2026-01-30;Vigente;mg;20 mg;59,4;7,4;Verde;SI;SI;NO;Syntofarma 
SRPR421;Syntofarma (Proyecto MAMUT) - Análisis Estabilidad de Cefalexina PPSO Sustancias Relacionadas  ;Medicamentos;Análisis Estabilidad de Cefalexina PPSO Sustancias Relacionadas  ;2C;CABINA;Mantener en un recipiente cerrado. Proteger de la luz. ;METHYLPARABEN;99,8%;USP;R098B0;1432005;2026-01-30;Vigente;mg;125 mg;250,0;31,3;Verde;SI;SI;NO;Syntofarma 
SRPR422;Syntofarma (Proyecto MAMUT) - Verificación del API Cefuroxima Axetilo Amorfo y Compresión directa  ;Medicamentos;Verificación del API Cefuroxima Axetilo Amorfo y Compresión directa  ;2F1;FREEZER;Protegido de la luz. Recipiente Hermético. Congelación;Cefuroxime Axetil Delta -3- Isomers;N/A (Cualitativo);USP ; R12220;1098231;2026-01-30;Vigente;mg;10 mg ;16,0;2,0;Azul;SI;SI ;N/A;Syntofarma 
SRPR423;Syntofarma (Proyecto MAMUT) - Validación de valoración de Cefuroxima tabletas ;Medicamentos;Validación de valoración de Cefuroxima tabletas ;2F1;FREEZER;Protegido de la luz. Recipiente Hermético. Congelación;Cefuroxime Axetil Delta -3- Isomers;N/A (Cualitativo);USP ; R12220;1098231;2026-01-30;Vigente;mg;10 mg ;50,0;6,3;Azul;SI;SI ;N/A;Syntofarma 
SRPR424;Syntofarma (Proyecto MAMUT) - Verificación del API Cefuroxima Axetilo Amorfo y Compresión directa  ;Medicamentos;Verificación del API Cefuroxima Axetilo Amorfo y Compresión directa ;9N;NEVERA;Mantener en un recipente cerrado. Refrigerador +5°C ± 3°C. Protegido de la luz;Isómeros E de cefuroxima axetilo ;Cualitativo ;USP;R147R0;1098253;2026-01-30;Vigente;mg;15 mg;6,0;0,8;Azul ;SI;SI;NO;Syntofarma 
SRPR425;Syntofarma (Proyecto MAMUT) -Validación de valoración de Cefuroxima tabletas ;Medicamentos;Validación de valoración de Cefuroxima tabletas ;9N;NEVERA;Cierre hermético. Protegido de la luz. Refrigeracion;Cefuroxime Axetil;82,3%;USP ;R011M0;1098220;2026-01-30;2027-03-31;mg;350 mg;700,0;87,5;Azul ;SI;SI;N/A;Syntofarma 
SRPR426;Syntofarma (Proyecto MAMUT) - Verificación del API Cefuroxima Axetilo Amorfo y Compresión directa  ;Medicamentos;Verificación del API Cefuroxima Axetilo Amorfo y Compresión directa ;9N;NEVERA;Cierre hermético. Protegido de la luz. Refrigeracion;Cefuroxime Axetil;82,3%;USP ;R011M0;1098220;2029-01-30;2027-03-31;mg;350 mg;234,1;29,3;Azul ;SI;SI;N/A;Syntofarma 
SRPR427;Syntofarma (Proyecto MAMUT) - Verificación de Dicloxacilina PPSO ;Medicamentos;Verificación de Dicloxacilina PPSO ;8N;NEVERA;"
Refrigerador (de 2 a 8 °C)";Dicloxacillin Sodium;Cualitativo ;BP;3428;810;2026-02-24;Vigente;mg;250 mg;250,0;31,3;Azul ;SI;SI;N/A;Syntofarma 
SRPR428;Syntofarma (Proyecto MAMUT) - Verificación de Dicloxacilina PPSO ;Medicamentos;Verificación de Dicloxacilina PPSO ;2F2;FREEZER;"
Congelador (de -15 °C a -25 °C)"; Flucloxacillin Sodium;"94,6% para HPLC
96,0% Para UV";BP;4735;158;2026-02-24;Vigente;mg;250 mg;233,2;29,2;Azul ;SI;SI;N/A;Syntofarma 
SRPR429;CECIF;Metrología ;Calificación de cromatógrafos gaseosos  ;9N;NEVERA;10° C o mas frío ; FID Performance Evaluation Standard ;Ver certificado;RESTEK;A0231484;33908;2026-03-25;2032-11-30;mL;2mL;1,0;0,1;Azul ;SI;SI;FE 149;3359120
SRPR430;CECIF;Metrología ;Calificación de cromatógrafos gaseosos  ;9N;NEVERA;10° C o mas frío ;OQ/PV Headspace Standard;Ver certificado;RESTEK;A0229506;33909;2026-03-25;2028-09-30;mL;2mL;1,0;0,1;Azul ;SI;SI;FE 149;3359121
SRPR431;Nutrabiotics EV. ;Medicamentos;Validación y análisis de control de calidad para pureza enantiomerica de la sal de trometamina ;2F1;FREEZER;-20°C ;R-Alfa-Lipoic Acid Trometamine Salt;100%;LGC;2025-MYF-135;R246990;2026-05-14;2029-12-22;mg;100mg;75,6;9,5;Verde;SI;NO ;NO;Nutrabiotics 
SRPR432;Nutrabiotics EV. ;Medicamentos;Validación y análisis de control de calidad para pureza enantiomerica de la sal de trometamina ;5N;NEVERA;Refrigerador de 2-8 °C;(S)-Thioctic Acid Tromethamine;99,7%;TLC;4430-094A1;T-8836;2026-05-14;2028-09-15;mg;100mg;67,2;8,4;Verde;SI;SI;NO;Nutrabiotics 
SRPR433; Syntofarma (Proyecto MAMUT) - Validación de Impurezas de Dicloxacilina PPSO ;Medicamentos;Validación de Impurezas de Dicloxacilina PPSO ;2F2;FREEZER;Congelador -20°C +/- 5°C Protegido de la luz;Dicloxacillin Sodium CRS;95,6%;EP;6;D1050000;2026-05-21;Vigente;mg;250mg;484,5;60,6;Azul ;SI;SI;NO;Syntofarma 
